id,address,city,name,postalCode,province,reviews.rating
AVwc252WIN2L1WUfpqLP,5921 Valencia Cir,Rancho Santa Fe,Rancho Valencia Resort Spa,92067,CA,5
AVwc252WIN2L1WUfpqLP,5921 Valencia Cir,Rancho Santa Fe,Rancho Valencia Resort Spa,92067,CA,5
AVwc252WIN2L1WUfpqLP,5921 Valencia Cir,Rancho Santa Fe,Rancho Valencia Resort Spa,92067,CA,5
AVwdOclqIN2L1WUfti38,7520 Teague Rd,Hanover,Aloft Arundel Mills,21076,MD,2
AVwdOclqIN2L1WUfti38,7520 Teague Rd,Hanover,Aloft Arundel Mills,21076,MD,5
AVwdOclqIN2L1WUfti38,7520 Teague Rd,Hanover,Aloft Arundel Mills,21076,MD,5
AVwdOclqIN2L1WUfti38,7520 Teague Rd,Hanover,Aloft Arundel Mills,21076,MD,5
AVwdOclqIN2L1WUfti38,7520 Teague Rd,Hanover,Aloft Arundel Mills,21076,MD,5
AVwdOclqIN2L1WUfti38,7520 Teague Rd,Hanover,Aloft Arundel Mills,21076,MD,5
AVwePiAX_7pvs4fzBSAl,315 SE Olympia Dr,Vancouver,Hampton Inn Suites PortlandVancouver,98684,WA,5
AVwePiAX_7pvs4fzBSAl,315 SE Olympia Dr,Vancouver,Hampton Inn Suites PortlandVancouver,98684,WA,5
AVwePiAX_7pvs4fzBSAl,315 SE Olympia Dr,Vancouver,Hampton Inn Suites PortlandVancouver,98684,WA,5
AVwePiAX_7pvs4fzBSAl,315 SE Olympia Dr,Vancouver,Hampton Inn Suites PortlandVancouver,98684,WA,5
AVwePiAX_7pvs4fzBSAl,315 SE Olympia Dr,Vancouver,Hampton Inn Suites PortlandVancouver,98684,WA,5
AVwePiAX_7pvs4fzBSAl,315 SE Olympia Dr,Vancouver,Hampton Inn Suites PortlandVancouver,98684,WA,5
AVwdUKE3_7pvs4fz4lE-,106 W 12th St,Kansas City,Hotel Phillips,64105,MO,4
AVwdUKE3_7pvs4fz4lE-,106 W 12th St,Kansas City,Hotel Phillips,64105,MO,5
AVwdUKE3_7pvs4fz4lE-,106 W 12th St,Kansas City,Hotel Phillips,64105,MO,3
AVwdUKE3_7pvs4fz4lE-,106 W 12th St,Kansas City,Hotel Phillips,64105,MO,5
AVwdUKE3_7pvs4fz4lE-,106 W 12th St,Kansas City,Hotel Phillips,64105,MO,4
AVweQyWNkufWRAb5BZeg,10611 Standing Stone Rd,Huntingdon,The Inn at Solvang,16652,PA,5
AVweQDZpIN2L1WUf3TA9,102 Valley Dr,Perry,Econolodge,31069,GA,5
AVwdQ0dy_7pvs4fz4BqX,12 4th St,San Francisco,Hotel Zelos,94103,CA,5
AVwdQ0dy_7pvs4fz4BqX,12 4th St,San Francisco,Hotel Zelos,94103,CA,4
AVwdQ0dy_7pvs4fz4BqX,12 4th St,San Francisco,Hotel Zelos,94103,CA,5
AVwdQ0dy_7pvs4fz4BqX,12 4th St,San Francisco,Hotel Zelos,94103,CA,3
AVwdKLPU_7pvs4fz23YA,998 W Landis Ave,Vineland,EconoLodge,8360,NJ,1
AVwdKLPU_7pvs4fz23YA,998 W Landis Ave,Vineland,EconoLodge,8360,NJ,1
AWE7dKHFIxWefVJwyLgA,250 Waterfront St,Oxon Hill,Hampton Inn Suites National HarborAlexandria Area,20745,MD,4
AWE7dKHFIxWefVJwyLgA,250 Waterfront St,Oxon Hill,Hampton Inn Suites National HarborAlexandria Area,20745,MD,5
AWE7dKHFIxWefVJwyLgA,250 Waterfront St,Oxon Hill,Hampton Inn Suites National HarborAlexandria Area,20745,MD,2
AWE7dKHFIxWefVJwyLgA,250 Waterfront St,Oxon Hill,Hampton Inn Suites National HarborAlexandria Area,20745,MD,5
AWE7dKHFIxWefVJwyLgA,250 Waterfront St,Oxon Hill,Hampton Inn Suites National HarborAlexandria Area,20745,MD,4
AWE7dKHFIxWefVJwyLgA,250 Waterfront St,Oxon Hill,Hampton Inn Suites National HarborAlexandria Area,20745,MD,5
AWE7dKHFIxWefVJwyLgA,250 Waterfront St,Oxon Hill,Hampton Inn Suites National HarborAlexandria Area,20745,MD,4
AWE7dKHFIxWefVJwyLgA,250 Waterfront St,Oxon Hill,Hampton Inn Suites National HarborAlexandria Area,20745,MD,5
AWE7dKHFIxWefVJwyLgA,250 Waterfront St,Oxon Hill,Hampton Inn Suites National HarborAlexandria Area,20745,MD,5
AWE7dKHFIxWefVJwyLgA,250 Waterfront St,Oxon Hill,Hampton Inn Suites National HarborAlexandria Area,20745,MD,5
AWE7dKHFIxWefVJwyLgA,250 Waterfront St,Oxon Hill,Hampton Inn Suites National HarborAlexandria Area,20745,MD,4
AWE7dKHFIxWefVJwyLgA,250 Waterfront St,Oxon Hill,Hampton Inn Suites National HarborAlexandria Area,20745,MD,4
AWE7dKHFIxWefVJwyLgA,250 Waterfront St,Oxon Hill,Hampton Inn Suites National HarborAlexandria Area,20745,MD,4
AWE7dKHFIxWefVJwyLgA,250 Waterfront St,Oxon Hill,Hampton Inn Suites National HarborAlexandria Area,20745,MD,4
AWE7dKHFIxWefVJwyLgA,250 Waterfront St,Oxon Hill,Hampton Inn Suites National HarborAlexandria Area,20745,MD,5
AWE7dKHFIxWefVJwyLgA,250 Waterfront St,Oxon Hill,Hampton Inn Suites National HarborAlexandria Area,20745,MD,5
AWE7dKHFIxWefVJwyLgA,250 Waterfront St,Oxon Hill,Hampton Inn Suites National HarborAlexandria Area,20745,MD,5
AWE7dKHFIxWefVJwyLgA,250 Waterfront St,Oxon Hill,Hampton Inn Suites National HarborAlexandria Area,20745,MD,3
AWE7dKHFIxWefVJwyLgA,250 Waterfront St,Oxon Hill,Hampton Inn Suites National HarborAlexandria Area,20745,MD,5
